time,Flow,Tidal Vol,Lung Vol,Lung Press,
3.882983618,14.08449178,272.2798079,2272.279808,6.640756529,
3.915036014,17.13603744,279.6590554,2279.659055,7.06718495,
3.965673995,21.97941806,294.5271003,2294.5271,7.816183336,
4.019093791,27.05233442,314.4815784,2314.481578,8.689794348,
4.063211315,31.40039222,334.2864904,2334.28649,9.491518753,
4.110072873,35.96912956,358.7132678,2358.713268,10.41959834,
4.122684893,37.11835799,365.8769485,2365.876948,10.67840558,
4.135778234,38.27310146,373.5647384,2373.564738,10.94533429,
4.166650539,41.27488328,392.7082262,2392.708226,11.61152634,
4.231014797,47.51020763,437.381551,2437.381551,13.10279544,
4.252177352,49.45732672,453.4718162,2453.471816,13.6138815,
4.295644974,53.66180588,488.6537831,2488.653783,14.71344964,
4.303389718,54.40113117,495.2278662,2495.227866,14.91587853,
4.310469792,54.70382064,501.3160675,2501.316067,15.09409958,
4.323331438,54.25389525,512.4970691,2512.497069,15.3571309,
4.341738704,52.74307101,528.4791783,2528.479178,15.61398116,
4.364485637,50.52024691,547.7762157,2547.776216,15.82935284,
4.401447593,46.87792944,577.5496037,2577.549604,16.09130211,
4.472936665,39.96787479,629.1194921,2629.119492,16.45894526,
4.505724779,36.76453003,650.1112087,2650.111209,16.57216424,
4.568755007,30.7039578,685.7544142,2685.754414,16.70632958,
4.596757301,28.08740566,699.6230574,2699.623057,16.7343667,
4.640511246,23.86960571,718.9077991,2718.907799,16.73055573,
4.69515513,18.46891516,738.801236,2738.801236,16.62965484,
4.738811851,14.20772199,751.3016861,2751.301686,16.48197311,
4.801807499,8.252256501,764.1317565,2764.131756,16.18174253,
4.821574909,6.385431008,766.9173163,2766.917316,16.06517614,
4.838232752,4.751865366,768.8034501,2768.80345,15.95438555,
4.857105384,2.950459243,770.4206596,2770.42066,15.81774975,
4.869560566,1.827439085,771.1891101,2771.18911,15.72473238,
4.870865638,1.713968465,771.2562097,2771.25621,15.71495962,
4.871204141,1.684816818,771.2732043,2771.273204,15.7124259,
4.871542645,1.65611657,771.2900307,2771.290031,15.70989396,
4.871881148,1.628052776,771.3066893,2771.306689,15.70736532,
4.872219652,1.600739502,771.3231803,2771.32318,15.70484169,
4.872558155,1.574241316,771.3395043,2771.339504,15.70232482,
