Time (s),Flow (L/min),Delivered Tidal Volume (mL),Lung Volume (mL),Lung Pressure (cm H2O),Pressure Premask (cm H2O)
0.000,0.000,0.000,2000.000,0.000,0.000
0.025,0.411,0.676,2000.676,0.166,0.166
0.050,4.484,1.451,2001.451,0.315,0.315
0.074,9.863,3.596,2003.596,0.805,0.805
0.099,12.639,7.569,2007.569,1.234,1.234
0.124,14.595,12.754,2012.754,1.568,1.568
0.149,16.857,18.917,2018.917,1.922,1.922
0.174,19.356,26.162,2026.162,2.323,2.323
0.198,21.940,34.450,2034.450,2.760,2.760
0.223,24.550,43.849,2043.849,3.227,3.227
0.248,27.171,54.986,2054.986,3.732,3.732
0.273,29.795,66.501,2066.501,4.244,4.244
0.298,32.382,79.549,2079.549,4.785,4.785
0.323,34.843,93.598,2093.598,5.337,5.337
0.347,37.300,109.257,2109.257,5.905,5.905
0.372,39.779,125.820,2125.820,6.490,6.490
0.397,42.244,143.048,2143.048,7.085,7.085
0.422,44.682,161.718,2161.718,7.699,7.699
0.447,47.086,180.822,2180.822,8.318,8.318
0.471,49.433,201.482,2201.482,8.959,8.959
0.496,51.811,223.051,2223.051,9.616,9.616
0.521,54.172,245.005,2245.005,10.278,10.278
0.546,56.480,268.186,2268.186,10.960,10.960
0.571,58.789,292.304,2292.304,11.657,11.657
0.595,58.122,317.153,2317.153,12.209,12.209
0.620,55.656,341.734,2341.734,12.527,12.527
0.645,53.035,365.319,2365.319,12.731,12.731
0.670,51.857,387.932,2387.932,13.010,13.010
0.695,49.337,409.747,2409.747,13.217,13.217
0.719,46.517,430.403,2430.403,13.353,13.353
0.744,43.696,449.418,2449.418,13.445,13.445
0.769,40.895,467.574,2467.574,13.517,13.517
0.794,38.099,485.548,2485.548,13.587,13.587
0.819,35.388,500.505,2500.505,13.610,13.610
0.844,32.677,515.463,2515.463,13.633,13.633
0.868,29.996,529.920,2529.920,13.649,13.649
0.893,27.411,542.452,2542.452,13.641,13.641
0.918,24.759,553.556,2553.556,13.607,13.607
0.943,22.089,564.098,2564.098,13.560,13.560
0.968,19.370,573.157,2573.157,13.479,13.479
0.992,16.690,581.425,2581.425,13.385,13.385
1.017,14.063,588.647,2588.647,13.273,13.273
1.042,11.565,594.261,2594.261,13.141,13.141
1.067,9.106,599.305,2599.305,13.002,13.002
1.092,6.678,603.239,2603.239,12.846,12.846
1.116,4.190,606.125,2606.125,12.668,12.668
1.141,1.842,608.010,2608.010,12.472,12.472
1.166,1.109,608.984,2608.984,12.345,12.345
1.191,0.917,609.559,2609.559,12.303,12.303
1.216,0.837,609.985,2609.985,12.290,12.290
1.240,-1.825,610.348,2610.348,12.263,12.263
1.265,-29.797,607.498,2607.498,10.504,10.504
1.290,-35.998,597.307,2597.307,9.057,9.057
1.315,-36.732,584.049,2584.049,8.429,8.429
1.340,-35.989,569.973,2569.973,8.088,8.088
1.365,-34.486,556.000,2556.000,7.895,7.895
1.389,-33.020,542.573,2542.573,7.751,7.751
1.414,-31.612,529.425,2529.425,7.617,7.617
1.439,-30.341,517.281,2517.281,7.495,7.495
1.464,-29.072,505.155,2505.155,7.372,7.372
1.489,-27.938,493.807,2493.807,7.254,7.254
1.513,-26.859,482.780,2482.780,7.137,7.137
1.538,-25.838,472.115,2472.115,7.022,7.022
1.563,-24.905,462.006,2462.006,6.908,6.908
1.588,-23.966,451.987,2451.987,6.795,6.795
1.613,-23.069,442.760,2442.760,6.693,6.693
1.637,-22.182,433.590,2433.590,6.592,6.592
1.662,-21.301,425.058,2425.058,6.503,6.503
1.687,-20.423,417.050,2417.050,6.423,6.423
1.712,-19.545,409.042,2409.042,6.343,6.343
1.737,-18.667,401.034,2401.034,6.264,6.264
1.761,-17.791,393.234,2393.234,6.188,6.188
1.786,-16.923,386.468,2386.468,6.133,6.133
1.811,-16.055,379.701,2379.701,6.077,6.077
1.836,-15.205,373.260,2373.260,6.027,6.027
1.861,-14.392,367.421,2367.421,5.986,5.986
1.886,-13.578,361.581,2361.581,5.946,5.946
1.910,-12.856,356.426,2356.426,5.910,5.910
1.935,-12.183,351.629,2351.629,5.878,5.878
1.960,-11.509,346.833,2346.833,5.846,5.846
1.985,-10.836,342.037,2342.037,5.814,5.814
2.010,-10.221,337.632,2337.632,5.784,5.784
2.034,-9.700,333.863,2333.863,5.758,5.758
2.059,-9.180,330.094,2330.094,5.732,5.732
2.084,-8.660,326.325,2326.325,5.706,5.706
2.109,-8.158,322.679,2322.679,5.681,5.681
2.134,-7.755,319.700,2319.700,5.660,5.660
2.158,-7.351,316.721,2316.721,5.638,5.638
2.183,-6.948,313.742,2313.742,5.617,5.617
2.208,-6.544,310.763,2310.763,5.596,5.596
2.233,-6.224,308.355,2308.355,5.578,5.578
2.258,-5.910,305.990,2305.990,5.561,5.561
2.283,-5.596,303.624,2303.624,5.543,5.543
2.307,-5.282,301.259,2301.259,5.525,5.525
2.332,-5.017,299.230,2299.230,5.510,5.510
2.357,-4.772,297.343,2297.343,5.496,5.496
2.382,-4.527,295.456,2295.456,5.481,5.481
2.407,-4.282,293.569,2293.569,5.466,5.466
2.431,-4.062,291.860,2291.860,5.453,5.453
2.456,-3.871,290.346,2290.346,5.441,5.441
2.481,-3.679,288.832,2288.832,5.429,5.429
2.506,-3.487,287.319,2287.319,5.417,5.417
2.531,-3.306,285.879,2285.879,5.405,5.405
2.555,-3.155,284.658,2284.658,5.395,5.395
2.580,-3.004,283.437,2283.437,5.385,5.385
2.605,-2.853,282.216,2282.216,5.375,5.375
2.630,-2.703,281.001,2281.001,5.365,5.365
2.655,-2.584,280.011,2280.011,5.356,5.356
2.679,-2.465,279.020,2279.020,5.348,5.348
2.704,-2.346,278.030,2278.030,5.339,5.339
2.729,-2.227,277.040,2277.040,5.331,5.331
2.754,-2.128,276.195,2276.195,5.323,5.323
2.779,-2.034,275.387,2275.387,5.316,5.316
2.804,-1.940,274.579,2274.579,5.309,5.309
2.828,-1.845,273.770,2273.770,5.301,5.301
2.853,-1.762,273.045,2273.045,5.295,5.295
2.878,-1.687,272.382,2272.382,5.289,5.289
2.903,-1.612,271.719,2271.719,5.282,5.282
2.928,-1.537,271.055,2271.055,5.276,5.276
2.952,-1.467,270.432,2270.432,5.270,5.270
2.977,-1.407,269.884,2269.884,5.265,5.265
3.002,-1.346,269.336,2269.336,5.260,5.260
3.027,-1.286,268.788,2268.788,5.255,5.255
3.052,-1.228,268.251,2268.251,5.249,5.249
3.076,-1.179,267.796,2267.796,5.245,5.245
3.101,-1.131,267.341,2267.341,5.240,5.240
3.126,-1.083,266.885,2266.885,5.236,5.236
3.151,-1.034,266.430,2266.430,5.231,5.231
3.176,-0.995,266.047,2266.047,5.227,5.227
3.200,-0.957,265.672,2265.672,5.223,5.223
3.225,-0.918,265.298,2265.298,5.220,5.220
3.250,-0.880,264.923,2264.923,5.216,5.216
3.275,-0.842,264.549,2264.549,5.212,5.212
3.300,-0.811,264.232,2264.232,5.208,5.208
3.325,-0.781,263.927,2263.927,5.205,5.205
3.349,-0.751,263.622,2263.622,5.202,5.202
3.374,-0.721,263.317,2263.317,5.199,5.199
3.399,-0.691,263.012,2263.012,5.195,5.195
3.424,-0.666,262.748,2262.748,5.192,5.192
3.449,-0.643,262.498,2262.498,5.190,5.190
3.473,-0.619,262.247,2262.247,5.187,5.187
3.498,-0.596,261.997,2261.997,5.184,5.184
3.523,-0.572,261.746,2261.746,5.181,5.181
3.548,-0.552,261.525,2261.525,5.179,5.179
3.573,-0.534,261.317,2261.317,5.176,5.176
3.597,-0.515,261.109,2261.109,5.174,5.174
3.622,-0.497,260.901,2260.901,5.171,5.171
3.647,-0.478,260.693,2260.693,5.169,5.169
3.672,-0.462,260.504,2260.504,5.167,5.167
3.697,-0.446,260.324,2260.324,5.165,5.165
3.721,-0.431,260.144,2260.144,5.163,5.163
3.746,-0.118,259.978,2259.978,5.171,5.171
3.771,1.205,259.989,2259.989,5.249,5.249
3.796,4.479,260.612,2260.612,5.482,5.482
3.821,8.114,262.463,2262.463,5.840,5.840
3.846,10.756,265.598,2265.598,6.181,6.181
3.870,12.953,269.857,2269.857,6.486,6.486
3.895,15.243,275.080,2275.080,6.803,6.803
3.920,17.607,281.104,2281.104,7.140,7.140
3.945,19.980,288.389,2288.389,7.507,7.507
3.970,22.350,295.985,2295.985,7.880,7.880
3.994,24.706,305.252,2305.252,8.286,8.286
4.019,27.062,314.528,2314.528,8.692,8.692
4.044,29.508,325.665,2325.665,9.143,9.143
4.069,31.947,337.208,2337.208,9.603,9.603
4.094,34.366,350.140,2350.140,10.094,10.094
4.118,36.731,363.464,2363.464,10.591,10.591
4.143,38.999,378.195,2378.195,11.106,11.106
4.168,41.411,393.684,2393.684,11.644,11.644
4.193,43.814,410.903,2410.903,12.219,12.219
4.218,46.218,428.123,2428.123,12.794,12.794
4.242,48.566,446.103,2446.103,13.380,13.380
4.267,50.920,465.708,2465.708,13.996,13.996
4.292,53.319,485.789,2485.789,14.624,14.624
4.317,54.478,506.919,2506.919,15.226,15.226
4.342,52.744,528.467,2528.467,15.614,15.614
4.367,50.318,549.427,2549.427,15.844,15.844
4.391,47.874,569.411,2569.411,16.020,16.020
4.416,45.456,588.159,2588.159,16.167,16.167
4.441,43.058,606.056,2606.056,16.295,16.295
4.466,40.660,623.953,2623.953,16.422,16.422
4.491,38.244,640.418,2640.418,16.520,16.520
4.515,35.835,655.579,2655.579,16.593,16.593
4.540,33.449,669.609,2669.609,16.646,16.646
4.565,31.064,683.639,2683.639,16.698,16.698
4.590,28.735,696.189,2696.189,16.727,16.727
4.615,26.364,707.502,2707.502,16.733,16.733
4.639,23.973,718.437,2718.437,16.731,16.731
4.664,21.523,727.551,2727.551,16.687,16.687
4.689,19.071,736.583,2736.583,16.641,16.641
4.714,16.642,744.161,2744.161,16.566,16.566
4.739,14.220,751.265,2751.265,16.482,16.482
4.763,11.874,756.328,2756.328,16.364,16.364
4.788,9.529,761.381,2761.381,16.246,16.246
4.813,7.185,765.725,2765.725,16.115,16.115
4.838,4.782,768.768,2768.768,15.956,15.956
4.863,2.443,770.768,2770.768,15.776,15.776
4.888,0.956,771.912,2771.912,15.612,15.612
4.912,0.635,772.457,2772.457,15.543,15.543
4.937,0.511,772.780,2772.780,15.517,15.517
4.962,0.469,773.013,2773.013,15.510,15.510
4.987,-22.227,772.336,2772.336,14.614,14.614
5.012,-47.498,763.783,2763.783,12.082,12.082
5.036,-51.143,747.376,2747.376,10.621,10.621
5.061,-51.311,728.282,2728.282,9.929,9.929
5.086,-49.512,708.616,2708.616,9.559,9.559
5.111,-47.513,689.370,2689.370,9.315,9.315
5.136,-45.667,670.910,2670.910,9.109,9.109
5.160,-43.928,653.010,2653.010,8.916,8.916
5.185,-42.258,635.884,2635.884,8.732,8.732
5.210,-40.709,620.109,2620.109,8.565,8.565
5.235,-39.159,604.334,2604.334,8.398,8.398
5.260,-37.610,588.559,2588.559,8.231,8.231
5.284,-36.061,572.784,2572.784,8.064,8.064
5.309,-34.708,559.393,2559.393,7.924,7.924
5.334,-33.374,546.228,2546.228,7.788,7.788
5.359,-32.040,533.062,2533.062,7.651,7.651
5.384,-30.706,519.897,2519.897,7.514,7.514
5.409,-29.435,507.204,2507.204,7.381,7.381
5.433,-28.344,495.844,2495.844,7.259,7.259
5.458,-27.253,484.483,2484.483,7.136,7.136
5.483,-26.260,473.862,2473.862,7.018,7.018
5.508,-25.314,463.604,2463.604,6.902,6.902
5.533,-24.368,453.347,2453.347,6.785,6.785
5.557,-23.453,444.146,2444.146,6.685,6.685
5.582,-22.543,435.135,2435.135,6.589,6.589
5.607,-21.633,426.124,2426.124,6.492,6.492
5.632,-20.723,417.113,2417.113,6.395,6.395
5.657,-19.816,409.378,2409.378,6.324,6.324
5.681,-18.910,401.899,2401.899,6.258,6.258
5.706,-18.004,394.420,2394.420,6.191,6.191
5.731,-17.098,386.941,2386.941,6.125,6.125
5.756,-16.207,379.833,2379.833,6.065,6.065
5.781,-15.356,373.691,2373.691,6.021,6.021
5.806,-14.505,367.549,2367.549,5.978,5.978
5.830,-13.689,361.672,2361.672,5.936,5.936
5.855,-12.985,356.669,2356.669,5.903,5.903
5.880,-12.282,351.666,2351.666,5.870,5.870
5.905,-11.578,346.663,2346.663,5.836,5.836
5.930,-10.876,341.672,2341.672,5.803,5.803
5.954,-10.332,337.733,2337.733,5.776,5.776
5.979,-9.787,333.793,2333.793,5.749,5.749
6.004,-9.242,329.854,2329.854,5.722,5.722
6.029,-8.697,325.915,2325.915,5.695,5.695
6.054,-8.252,322.647,2322.647,5.672,5.672
6.078,-7.828,319.530,2319.530,5.649,5.649
6.103,-7.405,316.412,2316.412,5.627,5.627
6.128,-6.982,313.295,2313.295,5.605,5.605
6.153,-6.616,310.576,2310.576,5.585,5.585
6.178,-6.287,308.098,2308.098,5.567,5.567
6.202,-5.957,305.621,2305.621,5.549,5.549
6.227,-5.627,303.143,2303.143,5.530,5.530
6.252,-5.328,300.879,2300.879,5.514,5.514
6.277,-5.070,298.900,2298.900,5.498,5.498
6.302,-4.813,296.921,2296.921,5.483,5.483
6.327,-4.555,294.942,2294.942,5.468,5.468
6.351,-4.310,293.055,2293.055,5.454,5.454
6.376,-4.108,291.466,2291.466,5.441,5.441
6.401,-3.906,289.877,2289.877,5.428,5.428
6.426,-3.704,288.289,2288.289,5.416,5.416
6.451,-3.504,286.712,2286.712,5.403,5.403
6.475,-3.345,285.430,2285.430,5.393,5.393
6.500,-3.186,284.148,2284.148,5.382,5.382
6.525,-3.027,282.865,2282.865,5.371,5.371
6.550,-2.868,281.583,2281.583,5.361,5.361
6.575,-2.737,280.505,2280.505,5.352,5.352
6.599,-2.612,279.464,2279.464,5.343,5.343
6.624,-2.486,278.423,2278.423,5.334,5.334
6.649,-2.360,277.382,2277.382,5.325,5.325
6.674,-2.252,276.465,2276.465,5.317,5.317
6.699,-2.152,275.616,2275.616,5.309,5.309
6.723,-2.052,274.766,2274.766,5.302,5.302
6.748,-1.953,273.916,2273.916,5.294,5.294
6.773,-1.862,273.135,2273.135,5.287,5.287
6.798,-1.783,272.437,2272.437,5.281,5.281
6.823,-1.703,271.739,2271.739,5.274,5.274
6.848,-1.624,271.041,2271.041,5.268,5.268
6.872,-1.549,270.375,2270.375,5.262,5.262
6.897,-1.485,269.798,2269.798,5.256,5.256
6.922,-1.421,269.222,2269.222,5.251,5.251
6.947,-1.358,268.645,2268.645,5.245,5.245
6.972,-1.295,268.075,2268.075,5.240,5.240
6.996,-1.244,267.595,2267.595,5.235,5.235
7.021,-1.192,267.116,2267.116,5.230,5.230
7.046,-1.141,266.636,2266.636,5.225,5.225
7.071,-1.090,266.157,2266.157,5.221,5.221
7.096,-1.048,265.751,2265.751,5.216,5.216
7.120,-1.007,265.355,2265.355,5.212,5.212
7.145,-0.966,264.960,2264.960,5.208,5.208
7.170,-0.926,264.565,2264.565,5.204,5.204
7.195,-0.885,264.169,2264.169,5.200,5.200
7.220,-0.853,263.845,2263.845,5.197,5.197
7.244,-0.821,263.523,2263.523,5.193,5.193
7.269,-0.789,263.200,2263.200,5.190,5.190
7.294,-0.757,262.877,2262.877,5.186,5.186
7.319,-0.725,262.554,2262.554,5.183,5.183
7.344,-0.700,262.286,2262.286,5.180,5.180
7.369,-0.674,262.021,2262.021,5.177,5.177
7.393,-0.649,261.756,2261.756,5.174,5.174
7.418,-0.624,261.491,2261.491,5.171,5.171
7.443,-0.599,261.226,2261.226,5.168,5.168
7.468,-0.563,260.988,2260.988,5.166,5.166
7.493,0.241,260.821,2260.821,5.204,5.204
7.517,2.568,261.016,2261.016,5.350,5.350
7.542,6.355,262.146,2262.146,5.666,5.666
7.567,9.422,264.647,2264.647,6.023,6.023
7.592,11.638,268.302,2268.302,6.330,6.330
7.617,13.809,272.908,2272.908,6.627,6.627
7.641,16.120,278.303,2278.303,6.944,6.944
7.666,18.478,284.922,2284.922,7.293,7.293
7.691,20.820,292.369,2292.369,7.658,7.658
7.716,23.141,300.841,2300.841,8.042,8.042
7.741,25.463,309.334,2309.334,8.427,8.427
7.765,27.853,319.966,2319.966,8.860,8.860
7.790,30.242,330.597,2330.597,9.293,9.293
7.815,32.661,342.579,2342.579,9.760,9.760
7.840,35.031,355.292,2355.292,10.242,10.242
7.865,37.287,369.187,2369.187,10.737,10.737
7.890,39.694,384.009,2384.009,11.259,11.259
7.914,42.096,400.123,2400.123,11.809,11.809
7.939,44.497,416.775,2416.775,12.372,12.372
7.964,46.863,433.874,2433.874,12.940,12.940
7.989,49.215,452.639,2452.639,13.538,13.538
8.014,51.627,471.975,2471.975,14.151,14.151
8.038,53.893,492.241,2492.241,14.780,14.780
8.063,53.082,513.362,2513.362,15.256,15.256
8.088,50.889,534.274,2534.274,15.541,15.541
8.113,48.494,554.324,2554.324,15.736,15.736
8.138,46.112,573.127,2573.127,15.893,15.893
8.162,43.748,591.001,2591.001,16.027,16.027
8.187,41.384,608.876,2608.876,16.160,16.160
8.212,39.008,625.854,2625.854,16.275,16.275
8.237,36.617,641.567,2641.567,16.363,16.363
8.262,34.252,655.804,2655.804,16.423,16.423
8.286,31.894,669.772,2669.772,16.478,16.478
8.311,29.568,682.453,2682.453,16.512,16.512
8.336,27.234,694.176,2694.176,16.530,16.530
8.361,24.877,705.163,2705.163,16.533,16.533
8.386,22.457,715.024,2715.024,16.509,16.509
8.411,20.033,723.781,2723.781,16.461,16.461
8.435,17.605,731.693,2731.693,16.395,16.395
8.460,15.188,739.271,2739.271,16.323,16.323
8.485,12.828,745.120,2745.120,16.221,16.221
8.510,10.480,750.561,2750.561,16.111,16.111
8.535,8.166,754.745,2754.745,15.980,15.980
8.559,5.807,758.275,2758.275,15.835,15.835
8.584,3.420,760.716,2760.716,15.664,15.664
8.609,1.288,762.210,2762.210,15.482,15.482
8.634,0.693,762.923,2762.923,15.373,15.373
8.659,0.512,763.300,2763.300,15.333,15.333
8.683,0.451,763.545,2763.545,15.321,15.321
8.708,-6.222,763.713,2763.713,15.210,15.210
8.733,-38.484,759.515,2759.515,13.039,13.039
8.758,-49.723,746.047,2746.047,10.984,10.984
8.783,-50.624,728.019,2728.019,10.079,10.079
8.807,-49.575,708.721,2708.721,9.603,9.603
8.832,-47.597,689.492,2689.492,9.318,9.318
8.857,-45.712,670.939,2670.939,9.108,9.108
8.882,-43.975,653.339,2653.339,8.917,8.917
8.907,-42.320,636.288,2636.288,8.735,8.735
8.932,-40.665,619.236,2619.236,8.552,8.552
8.956,-39.145,603.837,2603.837,8.389,8.389
8.981,-37.692,589.273,2589.273,8.237,8.237
9.006,-36.240,574.709,2574.709,8.084,8.084
9.031,-34.788,560.146,2560.146,7.932,7.932
9.056,-33.336,545.582,2545.582,7.779,7.779
9.080,-31.986,532.151,2532.151,7.639,7.639
9.105,-30.740,519.854,2519.854,7.511,7.511
9.130,-29.493,507.558,2507.558,7.384,7.384
9.155,-28.318,495.679,2495.679,7.258,7.258
9.180,-27.296,484.703,2484.703,7.136,7.136
9.204,-26.274,473.727,2473.727,7.014,7.014
9.229,-25.327,463.587,2463.587,6.900,6.900
9.254,-24.399,453.663,2453.663,6.788,6.788
9.279,-23.471,443.740,2443.740,6.676,6.676
9.304,-22.557,435.037,2435.037,6.586,6.586
9.329,-21.646,426.491,2426.491,6.498,6.498
9.353,-20.735,417.945,2417.945,6.411,6.411
9.378,-19.823,409.398,2409.398,6.323,6.323
9.403,-18.914,401.104,2401.104,6.241,6.241
9.428,-18.017,394.133,2394.133,6.184,6.184
9.453,-17.120,387.161,2387.161,6.127,6.127
9.477,-16.223,380.189,2380.189,6.071,6.071
9.502,-15.333,373.320,2373.320,6.015,6.015
9.527,-14.525,367.582,2367.582,5.977,5.977
9.552,-13.717,361.844,2361.844,5.938,5.938
9.577,-12.910,356.106,2356.106,5.899,5.899
9.601,-12.259,351.457,2351.457,5.868,5.868
9.626,-11.610,346.818,2346.818,5.836,5.836
9.651,-10.961,342.179,2342.179,5.805,5.805
9.676,-10.311,337.540,2337.540,5.774,5.774
9.701,-9.751,333.498,2333.498,5.746,5.746
9.725,-9.253,329.872,2329.872,5.721,5.721
9.750,-8.754,326.245,2326.245,5.696,5.696
9.775,-8.256,322.619,2322.619,5.671,5.671
9.800,-7.789,319.205,2319.205,5.647,5.647
9.825,-7.404,316.349,2316.349,5.626,5.626
9.850,-7.019,313.494,2313.494,5.605,5.605
9.874,-6.634,310.639,2310.639,5.585,5.585
9.899,-6.249,307.784,2307.784,5.564,5.564
9.924,-5.948,305.502,2305.502,5.547,5.547
9.949,-5.650,303.243,2303.243,5.530,5.530
9.974,-5.352,300.984,2300.984,5.513,5.513
9.998,-5.054,298.725,2298.725,5.496,5.496
10.023,-4.798,296.765,2296.765,5.481,5.481
